dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR100,-1,1,5.822,22.03,8.248,10.11,31.99,8.455,0.001
CIFAR100,-1,2,10.778,33.212,8.358,14.46,40.79,8.299,0.001
CIFAR100,-1,3,15.43,41.43,8.256,19.87,48.7,7.947,0.001
CIFAR100,-1,4,19.922,48.598,8.118,24.52,55.28,7.556,0.001
CIFAR100,-1,5,23.236,53.53,8.001,28.41,59.88,7.577,0.001
CIFAR100,-1,6,26.766,58.336,7.72,30.92,63.0,7.574,0.001
CIFAR100,-1,7,29.432,61.516,7.51,33.7,66.52,7.18,0.001
CIFAR100,-1,8,32.154,64.452,7.286,36.02,68.79,7.284,0.001
CIFAR100,-1,9,34.168,66.866,7.099,38.41,71.73,6.947,0.001
CIFAR100,-1,10,36.38,68.912,6.89,38.68,71.39,7.261,0.001
CIFAR100,-1,11,38.324,70.898,6.72,41.72,73.98,6.783,0.001
CIFAR100,-1,12,40.04,72.374,6.544,41.99,74.59,7.032,0.001
CIFAR100,-1,13,41.292,73.624,6.411,44.25,75.64,6.751,0.001
CIFAR100,-1,14,42.692,75.148,6.218,44.85,76.69,6.762,0.001
CIFAR100,-1,15,44.31,76.142,6.097,45.88,77.92,6.557,0.001
CIFAR100,-1,16,45.378,77.178,5.944,46.88,78.03,6.631,0.001
CIFAR100,-1,17,46.906,78.59,5.781,48.52,79.19,6.276,0.001
CIFAR100,-1,18,47.96,79.344,5.657,48.56,79.84,6.499,0.001
CIFAR100,-1,19,49.172,80.346,5.552,49.06,79.93,6.33,0.001
CIFAR100,-1,20,50.148,80.91,5.441,50.44,80.54,6.228,0.001
CIFAR100,-1,21,51.172,81.652,5.317,51.63,81.69,6.151,0.001
CIFAR100,-1,22,52.572,82.398,5.195,51.35,81.47,6.197,0.001
CIFAR100,-1,23,52.966,82.934,5.096,52.04,82.08,6.273,0.001
CIFAR100,-1,24,54.162,83.61,4.979,53.0,82.43,6.106,0.001
CIFAR100,-1,25,54.954,84.472,4.853,52.45,82.29,6.371,0.001
CIFAR100,-1,26,55.58,84.658,4.799,54.02,83.39,5.972,0.001
CIFAR100,-1,27,56.57,85.312,4.702,55.06,83.65,5.926,0.001
CIFAR100,-1,28,57.298,86.004,4.585,54.33,83.48,6.094,0.001
CIFAR100,-1,29,58.336,86.452,4.501,55.43,84.12,5.932,0.001
CIFAR100,-1,30,58.68,86.55,4.427,54.94,83.65,6.142,0.001
CIFAR100,-1,31,59.8,87.36,4.29,56.1,84.56,6.096,0.001
CIFAR100,-1,32,60.286,87.44,4.259,56.54,84.52,6.036,0.001
CIFAR100,-1,33,60.99,88.132,4.141,56.62,84.64,6.013,0.0005
CIFAR100,-1,34,64.42,89.758,3.65,58.05,85.38,5.818,0.0005
CIFAR100,-1,35,65.334,90.108,3.574,59.22,86.05,5.684,0.0005
CIFAR100,-1,36,65.726,90.49,3.517,59.0,86.2,5.812,0.0005
CIFAR100,-1,37,66.454,90.618,3.433,58.85,86.14,5.793,0.0005
CIFAR100,-1,38,66.998,90.892,3.374,59.61,86.2,5.745,0.0005
