dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR100,1,1,7.936,26.962,8.459,13.76,38.67,7.978,0.001
CIFAR100,1,2,15.05,41.008,8.459,20.64,49.48,8.36,0.001
CIFAR100,1,3,21.236,50.52,8.134,25.96,57.43,7.752,0.001
CIFAR100,1,4,26.878,58.404,7.717,32.87,65.08,7.329,0.001
CIFAR100,1,5,31.994,64.35,7.312,37.2,69.69,6.958,0.001
CIFAR100,1,6,36.194,68.844,6.926,39.81,72.57,6.868,0.001
CIFAR100,1,7,39.58,71.906,6.582,43.79,75.68,6.329,0.001
CIFAR100,1,8,42.674,75.05,6.26,46.5,77.4,6.289,0.001
CIFAR100,1,9,45.94,77.584,5.898,48.25,79.71,5.952,0.001
CIFAR100,1,10,48.34,79.378,5.609,51.85,81.43,5.754,0.001
CIFAR100,1,11,51.064,81.264,5.303,51.39,81.21,5.858,0.001
CIFAR100,1,12,53.154,82.88,5.085,53.17,82.3,5.785,0.001
CIFAR100,1,13,55.154,84.386,4.791,55.5,83.86,5.601,0.001
CIFAR100,1,14,57.322,85.528,4.588,55.61,84.82,5.431,0.001
CIFAR100,1,15,58.596,86.674,4.4,57.09,85.65,5.405,0.001
CIFAR100,1,16,60.41,87.624,4.163,58.39,86.33,5.242,0.001
CIFAR100,1,17,61.564,88.266,4.054,59.18,86.97,5.261,0.001
CIFAR100,1,18,63.1,89.384,3.83,58.65,86.56,5.481,0.001
CIFAR100,1,19,64.85,89.95,3.681,60.6,87.21,5.206,0.001
CIFAR100,1,20,65.728,90.594,3.531,61.25,87.62,5.203,0.001
CIFAR100,1,21,67.13,91.254,3.38,61.39,88.02,5.181,0.001
CIFAR100,1,22,67.936,91.8,3.263,61.23,87.9,5.29,0.001
CIFAR100,1,23,69.596,92.344,3.083,62.69,88.38,5.129,0.001
CIFAR100,1,24,70.3,92.742,3.011,63.63,88.97,5.102,0.001
CIFAR100,1,25,71.848,93.192,2.865,62.89,88.63,5.152,0.001
CIFAR100,1,26,72.13,93.59,2.798,63.89,89.18,5.085,0.001
CIFAR100,1,27,73.128,93.988,2.666,64.13,89.39,5.095,0.001
CIFAR100,1,28,74.05,94.5,2.552,63.93,89.32,5.287,0.001
CIFAR100,1,29,74.942,94.712,2.475,64.68,89.24,5.227,0.001
CIFAR100,1,30,76.004,95.122,2.377,65.34,89.9,5.126,0.001
CIFAR100,1,31,76.516,95.286,2.308,65.21,89.82,5.232,0.001
CIFAR100,1,32,77.35,95.576,2.224,65.41,89.91,5.27,0.0005
CIFAR100,1,33,81.45,96.686,1.73,67.63,90.66,4.882,0.0005
CIFAR100,1,34,82.506,97.02,1.603,68.41,90.9,4.928,0.0005
CIFAR100,1,35,83.316,97.148,1.516,67.58,90.66,5.077,0.0005
CIFAR100,1,36,83.582,97.344,1.497,67.66,90.53,5.088,0.0005
CIFAR100,1,37,84.276,97.404,1.451,67.84,90.77,5.112,0.0005
CIFAR100,1,38,84.502,97.632,1.415,67.44,90.84,5.081,0.0005
CIFAR100,1,39,84.844,97.75,1.354,68.09,90.57,5.239,0.00025
CIFAR100,1,40,87.116,98.086,1.14,69.25,91.24,5.001,0.00025
CIFAR100,1,41,87.606,98.226,1.089,69.23,91.08,5.04,0.00025
CIFAR100,1,42,88.078,98.21,1.076,68.85,91.45,5.035,0.00025
CIFAR100,1,43,88.236,98.27,1.05,69.07,91.14,5.035,0.00025
CIFAR100,1,44,88.32,98.304,1.023,68.72,91.54,5.169,0.00025
CIFAR100,1,45,88.706,98.374,1.004,69.09,91.2,5.116,0.000125
CIFAR100,1,46,89.862,98.584,0.881,69.32,91.4,5.094,0.000125
CIFAR100,1,47,89.868,98.546,0.871,69.75,91.65,5.116,0.000125
CIFAR100,1,48,90.008,98.608,0.871,69.93,91.47,5.098,0.000125
CIFAR100,1,49,90.154,98.556,0.877,69.9,91.64,5.124,0.000125
CIFAR100,1,50,90.448,98.622,0.848,69.52,91.55,5.122,0.000125
CIFAR100,1,51,90.348,98.726,0.846,69.64,91.47,5.194,6.25e-05
CIFAR100,1,52,90.898,98.718,0.807,69.89,91.72,5.084,6.25e-05
CIFAR100,1,53,90.952,98.75,0.793,69.92,91.79,5.11,6.25e-05
CIFAR100,1,54,91.004,98.766,0.792,69.76,91.51,5.14,6.25e-05
CIFAR100,1,55,91.022,98.698,0.797,69.66,91.76,5.105,6.25e-05
CIFAR100,1,56,91.102,98.772,0.777,69.51,91.77,5.098,6.25e-05
CIFAR100,1,57,91.276,98.846,0.772,69.6,91.54,5.163,3.125e-05
CIFAR100,1,58,91.598,98.942,0.721,69.95,91.51,5.12,3.125e-05
CIFAR100,1,59,91.488,98.838,0.756,70.09,91.73,5.096,3.125e-05
CIFAR100,1,60,91.518,98.786,0.748,69.89,91.67,5.137,3.125e-05
CIFAR100,1,61,91.384,98.854,0.746,70.07,91.76,5.116,3.125e-05
CIFAR100,1,62,91.752,98.834,0.735,69.97,91.65,5.158,3.125e-05
CIFAR100,1,63,91.714,98.866,0.723,69.88,91.58,5.173,1.5625e-05
