dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10DVS,-1,1,24.744,76.533,6.499,31.8,85.0,5.765,0.001
CIFAR10DVS,-1,2,37.189,86.767,6.162,39.9,89.5,6.896,0.001
CIFAR10DVS,-1,3,43.111,89.767,6.08,42.8,90.7,6.261,0.001
CIFAR10DVS,-1,4,48.678,91.744,5.72,46.0,90.5,6.492,0.001
CIFAR10DVS,-1,5,52.967,93.167,5.414,51.8,92.5,6.07,0.001
CIFAR10DVS,-1,6,55.989,94.111,5.094,52.8,94.2,5.825,0.001
CIFAR10DVS,-1,7,58.633,95.4,4.793,57.0,94.9,5.936,0.0005
CIFAR10DVS,-1,8,64.378,96.733,4.068,59.8,94.9,5.811,0.0005
CIFAR10DVS,-1,9,67.367,97.422,3.715,62.2,96.9,5.059,0.0005
CIFAR10DVS,-1,10,68.989,97.6,3.622,62.5,96.5,5.087,0.0005
CIFAR10DVS,-1,11,70.911,98.122,3.339,64.7,97.1,4.863,0.0005
CIFAR10DVS,-1,12,72.578,98.356,3.182,66.9,96.8,4.806,0.0005
CIFAR10DVS,-1,13,74.944,98.489,2.965,64.9,96.7,5.925,0.0005
CIFAR10DVS,-1,14,76.189,98.878,2.798,65.4,95.9,5.939,0.0005
CIFAR10DVS,-1,15,78.189,99.011,2.501,67.3,96.1,5.142,0.0005
CIFAR10DVS,-1,16,79.378,99.222,2.343,65.8,97.2,5.832,0.0005
CIFAR10DVS,-1,17,80.656,99.367,2.248,69.4,97.6,5.324,0.0005
CIFAR10DVS,-1,18,82.767,99.533,1.979,67.2,97.2,5.311,0.00025
CIFAR10DVS,-1,19,87.356,99.733,1.211,70.2,97.6,5.44,0.00025
CIFAR10DVS,-1,20,90.0,99.822,1.008,68.2,98.0,6.162,0.00025
CIFAR10DVS,-1,21,90.656,99.844,0.914,71.2,97.6,5.708,0.00025
CIFAR10DVS,-1,22,91.633,99.9,0.856,66.9,97.2,6.802,0.00025
CIFAR10DVS,-1,23,91.756,99.956,0.818,69.1,97.8,6.363,0.00025
CIFAR10DVS,-1,24,93.3,99.956,0.607,71.7,97.6,6.119,0.000125
CIFAR10DVS,-1,25,95.767,100.0,0.35,71.7,97.7,6.48,0.000125
CIFAR10DVS,-1,26,96.2,99.989,0.312,72.3,98.2,6.042,0.000125
CIFAR10DVS,-1,27,96.767,100.0,0.28,70.8,97.6,6.564,0.000125
CIFAR10DVS,-1,28,96.956,99.989,0.241,71.5,97.6,6.562,0.000125
CIFAR10DVS,-1,29,97.189,100.0,0.205,72.4,97.8,6.511,0.000125
CIFAR10DVS,-1,30,97.889,100.0,0.175,71.5,98.1,6.532,6.25e-05
CIFAR10DVS,-1,31,98.567,100.0,0.092,73.1,97.8,6.475,6.25e-05
CIFAR10DVS,-1,32,98.511,100.0,0.108,73.7,97.9,6.455,6.25e-05
CIFAR10DVS,-1,33,98.411,100.0,0.112,73.6,98.2,6.4,6.25e-05
CIFAR10DVS,-1,34,98.933,100.0,0.07,73.8,98.1,6.668,6.25e-05
CIFAR10DVS,-1,35,98.844,100.0,0.074,72.7,98.1,6.656,6.25e-05
CIFAR10DVS,-1,36,99.067,99.989,0.056,73.8,97.7,6.786,3.125e-05
CIFAR10DVS,-1,37,99.233,100.0,0.042,73.8,97.7,6.662,3.125e-05
CIFAR10DVS,-1,38,99.267,100.0,0.048,72.8,98.0,6.755,3.125e-05
CIFAR10DVS,-1,39,99.367,100.0,0.049,73.2,97.9,6.854,3.125e-05
CIFAR10DVS,-1,40,99.356,100.0,0.043,73.5,98.1,6.887,3.125e-05
CIFAR10DVS,-1,41,99.411,100.0,0.033,73.7,98.1,6.821,3.125e-05
CIFAR10DVS,-1,42,99.378,100.0,0.037,72.8,97.9,7.06,1.5625e-05
CIFAR10DVS,-1,43,99.6,100.0,0.03,74.6,98.1,6.823,1.5625e-05
CIFAR10DVS,-1,44,99.567,100.0,0.027,73.1,98.0,6.902,1.5625e-05
CIFAR10DVS,-1,45,99.533,100.0,0.027,74.1,97.9,6.936,1.5625e-05
CIFAR10DVS,-1,46,99.6,100.0,0.025,73.1,98.1,7.075,1.5625e-05
CIFAR10DVS,-1,47,99.589,100.0,0.017,73.0,97.8,7.201,1.5625e-05
CIFAR10DVS,-1,48,99.6,100.0,0.026,74.3,98.1,7.179,7.8125e-06
CIFAR10DVS,-1,49,99.533,100.0,0.025,73.9,97.9,7.046,7.8125e-06
CIFAR10DVS,-1,50,99.578,100.0,0.026,73.7,97.9,7.102,7.8125e-06
CIFAR10DVS,-1,51,99.7,100.0,0.021,73.3,98.3,7.071,7.8125e-06
CIFAR10DVS,-1,52,99.589,100.0,0.027,74.4,98.2,7.006,7.8125e-06
CIFAR10DVS,-1,53,99.722,100.0,0.015,72.9,98.1,7.001,7.8125e-06
CIFAR10DVS,-1,54,99.6,100.0,0.021,72.5,98.0,7.119,3.90625e-06
CIFAR10DVS,-1,55,99.733,100.0,0.013,73.7,97.9,7.155,3.90625e-06
CIFAR10DVS,-1,56,99.8,100.0,0.012,73.4,98.2,7.1,3.90625e-06
CIFAR10DVS,-1,57,99.622,100.0,0.019,72.7,98.0,7.129,3.90625e-06
CIFAR10DVS,-1,58,99.778,100.0,0.01,74.1,97.9,7.123,3.90625e-06
CIFAR10DVS,-1,59,99.633,100.0,0.022,73.7,98.2,7.045,3.90625e-06
CIFAR10DVS,-1,60,99.744,100.0,0.014,73.9,98.0,7.07,1.953125e-06
CIFAR10DVS,-1,61,99.756,100.0,0.012,73.6,97.9,7.137,1.953125e-06
CIFAR10DVS,-1,62,99.711,100.0,0.015,73.6,98.1,7.114,1.953125e-06
CIFAR10DVS,-1,63,99.8,100.0,0.008,74.1,97.8,7.156,1.953125e-06
