dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10DVS,0,1,25.122,77.211,6.463,35.2,85.6,5.895,0.001
CIFAR10DVS,0,2,38.389,86.667,6.005,41.8,88.8,6.795,0.001
CIFAR10DVS,0,3,45.344,90.456,5.836,48.3,91.8,5.646,0.001
CIFAR10DVS,0,4,49.6,92.211,5.643,51.1,93.3,5.175,0.001
CIFAR10DVS,0,5,52.633,93.467,5.444,50.2,91.9,6.124,0.001
CIFAR10DVS,0,6,55.511,94.533,5.019,55.5,93.9,6.342,0.001
CIFAR10DVS,0,7,58.1,95.056,4.933,55.5,94.2,6.427,0.001
CIFAR10DVS,0,8,60.967,95.656,4.665,59.0,95.9,5.428,0.001
CIFAR10DVS,0,9,63.322,96.311,4.342,56.2,94.8,5.69,0.001
CIFAR10DVS,0,10,65.0,96.756,4.24,62.2,95.7,5.819,0.0005
CIFAR10DVS,0,11,71.5,97.878,3.248,66.0,96.3,4.973,0.0005
CIFAR10DVS,0,12,74.233,98.278,3.022,66.3,96.2,5.332,0.0005
CIFAR10DVS,0,13,74.511,98.478,2.957,66.7,96.6,5.041,0.0005
CIFAR10DVS,0,14,76.944,98.922,2.623,67.0,96.9,5.799,0.0005
CIFAR10DVS,0,15,78.744,99.0,2.457,68.4,97.1,5.107,0.0005
CIFAR10DVS,0,16,80.644,99.233,2.259,66.7,97.0,5.707,0.0005
CIFAR10DVS,0,17,81.611,99.278,2.11,69.2,97.1,5.518,0.00025
CIFAR10DVS,0,18,87.067,99.622,1.305,71.6,97.6,5.206,0.00025
CIFAR10DVS,0,19,88.733,99.756,1.165,70.0,97.4,5.743,0.00025
CIFAR10DVS,0,20,90.022,99.833,0.956,71.5,97.0,5.715,0.00025
CIFAR10DVS,0,21,91.567,99.867,0.846,71.7,97.9,5.831,0.00025
CIFAR10DVS,0,22,92.167,99.911,0.76,71.4,97.7,6.02,0.00025
CIFAR10DVS,0,23,93.233,99.944,0.582,70.7,97.7,6.027,0.000125
CIFAR10DVS,0,24,95.5,100.0,0.349,72.9,97.6,6.271,0.000125
CIFAR10DVS,0,25,96.456,99.978,0.316,73.3,97.6,6.05,0.000125
CIFAR10DVS,0,26,97.289,100.0,0.218,73.2,98.0,6.319,0.000125
