dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
DVSGesture,-1,1,44.562,90.416,8.953,62.121,99.621,3.612,0.001
DVSGesture,-1,2,64.35,98.579,5.903,81.439,100.0,3.525,0.001
DVSGesture,-1,3,81.658,99.173,3.762,93.182,100.0,1.899,0.001
DVSGesture,-1,4,89.951,99.638,2.362,95.076,100.0,1.305,0.001
DVSGesture,-1,5,91.785,99.768,2.185,91.667,100.0,1.675,0.001
DVSGesture,-1,6,93.748,99.819,1.596,95.076,100.0,1.136,0.001
DVSGesture,-1,7,94.782,99.948,1.253,95.833,99.242,1.374,0.001
DVSGesture,-1,8,95.608,99.897,1.213,93.561,100.0,2.178,0.001
DVSGesture,-1,9,96.099,99.871,1.011,97.348,99.242,1.38,0.001
DVSGesture,-1,10,96.513,99.948,0.905,96.97,100.0,1.213,0.001
DVSGesture,-1,11,96.926,99.948,0.775,96.591,100.0,1.08,0.001
DVSGesture,-1,12,97.339,99.948,0.689,96.591,98.864,1.777,0.001
DVSGesture,-1,13,97.443,99.974,0.583,95.455,100.0,1.798,0.001
DVSGesture,-1,14,97.882,99.948,0.592,96.591,99.242,1.528,0.001
DVSGesture,-1,15,98.218,100.0,0.527,95.833,99.621,1.705,0.001
DVSGesture,-1,16,98.398,100.0,0.463,95.455,99.242,2.204,0.001
DVSGesture,-1,17,98.373,100.0,0.484,96.591,100.0,0.752,0.001
DVSGesture,-1,18,98.683,100.0,0.335,95.076,99.621,1.905,0.001
DVSGesture,-1,19,98.295,100.0,0.449,96.591,100.0,0.861,0.001
DVSGesture,-1,20,98.941,99.974,0.336,95.833,100.0,1.553,0.001
DVSGesture,-1,21,98.889,100.0,0.337,96.591,100.0,2.003,0.001
DVSGesture,-1,22,98.631,100.0,0.358,96.591,100.0,1.689,0.001
DVSGesture,-1,23,99.225,100.0,0.227,96.591,100.0,1.697,0.0005
DVSGesture,-1,24,99.509,100.0,0.155,95.833,99.242,2.062,0.0005
DVSGesture,-1,25,99.716,100.0,0.07,96.212,100.0,1.744,0.0005
DVSGesture,-1,26,99.613,100.0,0.109,95.455,99.621,2.453,0.0005
DVSGesture,-1,27,99.638,99.974,0.115,97.727,99.242,1.681,0.0005
DVSGesture,-1,28,99.638,100.0,0.095,97.348,100.0,1.654,0.0005
DVSGesture,-1,29,99.742,100.0,0.089,96.97,99.621,2.271,0.00025
DVSGesture,-1,30,99.845,100.0,0.051,97.348,99.621,1.391,0.00025
DVSGesture,-1,31,99.897,100.0,0.025,97.348,99.242,1.612,0.00025
DVSGesture,-1,32,99.793,100.0,0.054,97.727,100.0,1.375,0.00025
DVSGesture,-1,33,99.819,100.0,0.065,96.97,99.621,1.84,0.00025
