dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
DVSGesture,1,1,48.127,91.733,9.075,66.288,98.864,5.378,0.001
DVSGesture,1,2,71.454,99.148,5.123,92.045,100.0,1.297,0.001
DVSGesture,1,3,88.065,99.458,2.934,88.636,100.0,3.064,0.001
DVSGesture,1,4,91.914,99.716,2.238,95.833,100.0,1.693,0.001
DVSGesture,1,5,92.999,99.793,1.932,94.697,99.242,1.222,0.001
DVSGesture,1,6,94.756,99.923,1.484,95.833,100.0,0.905,0.001
DVSGesture,1,7,94.963,99.974,1.337,95.833,100.0,1.145,0.001
DVSGesture,1,8,95.944,100.0,1.074,95.076,100.0,1.615,0.001
DVSGesture,1,9,96.513,99.948,1.007,96.591,99.621,1.588,0.001
DVSGesture,1,10,97.055,99.974,0.838,96.591,99.621,1.251,0.001
DVSGesture,1,11,97.753,100.0,0.673,96.591,99.621,1.949,0.001
DVSGesture,1,12,97.933,99.948,0.71,95.833,100.0,2.007,0.0005
DVSGesture,1,13,98.915,100.0,0.332,96.212,100.0,1.765,0.0005
DVSGesture,1,14,99.173,100.0,0.217,97.727,100.0,1.031,0.0005
DVSGesture,1,15,99.044,100.0,0.317,96.591,100.0,1.406,0.0005
DVSGesture,1,16,99.148,100.0,0.264,96.97,100.0,1.399,0.0005
DVSGesture,1,17,99.122,100.0,0.281,96.212,100.0,1.612,0.0005
DVSGesture,1,18,99.148,100.0,0.283,95.455,100.0,2.377,0.00025
DVSGesture,1,19,99.535,100.0,0.164,96.591,100.0,2.102,0.00025
DVSGesture,1,20,99.638,100.0,0.136,96.591,100.0,2.428,0.00025
DVSGesture,1,21,99.613,100.0,0.132,96.591,100.0,2.186,0.00025
DVSGesture,1,22,99.793,100.0,0.094,95.833,100.0,2.059,0.00025
DVSGesture,1,23,99.69,100.0,0.119,97.348,100.0,1.299,0.00025
DVSGesture,1,24,99.664,100.0,0.103,96.97,100.0,1.617,0.000125
DVSGesture,1,25,99.819,100.0,0.091,96.97,100.0,1.641,0.000125
DVSGesture,1,26,99.793,100.0,0.089,97.348,100.0,1.758,0.000125
DVSGesture,1,27,99.845,100.0,0.063,96.97,100.0,1.784,0.000125
DVSGesture,1,28,99.871,100.0,0.066,97.348,100.0,1.396,0.000125
DVSGesture,1,29,99.819,100.0,0.104,98.106,100.0,1.349,0.000125
DVSGesture,1,30,99.845,100.0,0.044,96.97,100.0,2.152,6.25e-05
DVSGesture,1,31,99.845,100.0,0.063,97.348,100.0,1.961,6.25e-05
DVSGesture,1,32,99.871,100.0,0.072,96.97,100.0,1.532,6.25e-05
DVSGesture,1,33,99.871,100.0,0.062,96.97,100.0,1.699,6.25e-05
DVSGesture,1,34,99.845,100.0,0.074,97.348,100.0,1.756,6.25e-05
DVSGesture,1,35,99.897,100.0,0.051,97.348,100.0,1.827,6.25e-05
DVSGesture,1,36,99.897,100.0,0.061,96.591,100.0,2.643,3.125e-05
DVSGesture,1,37,99.845,100.0,0.061,97.348,100.0,1.905,3.125e-05
DVSGesture,1,38,99.871,100.0,0.048,97.348,100.0,1.756,3.125e-05
DVSGesture,1,39,99.897,100.0,0.044,97.348,100.0,1.918,3.125e-05
DVSGesture,1,40,99.897,100.0,0.05,97.348,100.0,1.941,3.125e-05
DVSGesture,1,41,99.871,100.0,0.04,97.348,100.0,2.088,3.125e-05
DVSGesture,1,42,99.871,100.0,0.046,96.97,100.0,2.085,1.5625e-05
DVSGesture,1,43,99.845,100.0,0.051,96.591,100.0,2.338,1.5625e-05
DVSGesture,1,44,99.871,100.0,0.045,96.97,100.0,2.046,1.5625e-05
DVSGesture,1,45,99.897,100.0,0.041,97.348,100.0,2.033,1.5625e-05
DVSGesture,1,46,99.897,100.0,0.036,96.97,100.0,2.068,1.5625e-05
DVSGesture,1,47,99.897,100.0,0.03,97.348,100.0,1.923,1.5625e-05
DVSGesture,1,48,99.897,100.0,0.035,97.348,100.0,2.081,7.8125e-06
DVSGesture,1,49,99.871,100.0,0.035,97.348,100.0,2.011,7.8125e-06
DVSGesture,1,50,99.871,100.0,0.033,97.348,100.0,2.038,7.8125e-06
DVSGesture,1,51,99.897,100.0,0.053,97.348,100.0,2.018,7.8125e-06
DVSGesture,1,52,99.897,100.0,0.049,97.348,100.0,2.043,7.8125e-06
DVSGesture,1,53,99.871,100.0,0.038,97.348,100.0,1.976,7.8125e-06
DVSGesture,1,54,99.923,100.0,0.038,97.348,100.0,1.914,3.90625e-06
DVSGesture,1,55,99.871,100.0,0.034,97.348,100.0,2.042,3.90625e-06
DVSGesture,1,56,99.871,100.0,0.031,97.348,100.0,1.967,3.90625e-06
DVSGesture,1,57,99.871,100.0,0.036,97.348,100.0,1.967,3.90625e-06
DVSGesture,1,58,99.897,100.0,0.048,97.348,100.0,2.061,3.90625e-06
DVSGesture,1,59,99.897,100.0,0.034,97.348,100.0,2.094,3.90625e-06
DVSGesture,1,60,99.897,100.0,0.035,97.348,100.0,2.148,1.953125e-06
DVSGesture,1,61,99.897,100.0,0.048,97.348,100.0,2.05,1.953125e-06
DVSGesture,1,62,99.897,100.0,0.042,97.348,100.0,2.095,1.953125e-06
DVSGesture,1,63,99.897,100.0,0.037,97.348,100.0,2.067,1.953125e-06
DVSGesture,1,64,99.923,100.0,0.039,97.348,100.0,2.092,1.953125e-06
DVSGesture,1,65,99.845,100.0,0.032,97.348,100.0,2.058,1.953125e-06
DVSGesture,1,66,99.897,100.0,0.036,97.348,100.0,2.04,9.765625e-07
DVSGesture,1,67,99.871,100.0,0.047,97.348,100.0,2.028,9.765625e-07
DVSGesture,1,68,99.871,100.0,0.038,97.348,100.0,2.054,9.765625e-07
DVSGesture,1,69,99.897,100.0,0.032,97.348,100.0,2.083,9.765625e-07
DVSGesture,1,70,99.871,100.0,0.031,97.348,100.0,2.076,9.765625e-07
DVSGesture,1,71,99.845,100.0,0.049,97.348,100.0,2.108,9.765625e-07
DVSGesture,1,72,99.923,100.0,0.026,97.348,100.0,2.089,4.8828125e-07
DVSGesture,1,73,99.897,100.0,0.04,97.348,100.0,2.084,4.8828125e-07
DVSGesture,1,74,99.923,100.0,0.028,97.348,100.0,2.12,4.8828125e-07
DVSGesture,1,75,99.897,100.0,0.031,97.348,100.0,2.126,4.8828125e-07
DVSGesture,1,76,99.871,100.0,0.043,97.348,100.0,2.098,4.8828125e-07
DVSGesture,1,77,99.923,100.0,0.04,97.348,100.0,2.091,4.8828125e-07
DVSGesture,1,78,99.923,100.0,0.024,97.348,100.0,2.106,2.44140625e-07
DVSGesture,1,79,99.897,100.0,0.035,97.348,100.0,2.116,2.44140625e-07
DVSGesture,1,80,99.897,100.0,0.031,97.348,100.0,2.104,2.44140625e-07
DVSGesture,1,81,99.897,100.0,0.04,97.348,100.0,2.108,2.44140625e-07
DVSGesture,1,82,99.897,100.0,0.033,97.348,100.0,2.097,2.44140625e-07
DVSGesture,1,83,99.897,100.0,0.038,97.348,100.0,2.095,2.44140625e-07
DVSGesture,1,84,99.897,100.0,0.029,97.348,100.0,2.068,1.220703125e-07
DVSGesture,1,85,99.923,100.0,0.036,97.348,100.0,2.109,1.220703125e-07
DVSGesture,1,86,99.897,100.0,0.029,97.348,100.0,2.107,1.220703125e-07
DVSGesture,1,87,99.923,100.0,0.037,97.348,100.0,2.124,1.220703125e-07
DVSGesture,1,88,99.897,100.0,0.04,97.348,100.0,2.139,1.220703125e-07
DVSGesture,1,89,99.897,100.0,0.027,97.348,100.0,2.132,1.220703125e-07
