best_acc,best_epoch,final_epoch,final_train_acc1,final_test_acc1,final_train_loss,final_test_loss,final_lr,dataset,alpha_post,folder
89.87999725341797,200,200,93.948,89.67,0.518,1.804,1.52587890625e-08,CIFAR10,-1,CIFAR10_VGG_TESS_apo_neg1
91.80999755859375,200,200,96.656,91.69,0.31,1.553,1.52587890625e-08,CIFAR10,0,CIFAR10_VGG_TESS_apo_zero
93.00999450683594,200,200,97.546,92.77,0.216,1.095,1.52587890625e-08,CIFAR10,1,CIFAR10_VGG_TESS_apo_pos1
62.22999954223633,200,200,77.16,61.7,2.12,5.797,1.52587890625e-08,CIFAR100,-1,CIFAR100_VGG_TESS_apo_neg1
68.63999938964844,200,200,91.196,68.26,0.78,5.53,1.52587890625e-08,CIFAR100,0,CIFAR100_VGG_TESS_apo_zero
70.3499984741211,200,200,92.17,70.14,0.685,5.173,1.52587890625e-08,CIFAR100,1,CIFAR100_VGG_TESS_apo_pos1
74.9000015258789,200,200,99.756,73.9,0.012,7.255,1.52587890625e-08,CIFAR10DVS,-1,CIFAR10DVS_VGG_TESS_apo_neg1
75.0,200,200,99.856,74.2,0.009,7.609,1.52587890625e-08,CIFAR10DVS,0,CIFAR10DVS_VGG_TESS_apo_zero
74.4000015258789,200,200,99.578,73.5,0.023,7.57,1.52587890625e-08,CIFAR10DVS,1,CIFAR10DVS_VGG_TESS_apo_pos1
97.7272720336914,200,200,100.0,96.97,0.0,2.39,1.52587890625e-08,DVSGesture,-1,DVSGesture_TESS_apo_neg1
98.10606384277344,200,200,99.923,96.212,0.012,3.154,1.52587890625e-08,DVSGesture,0,DVSGesture_TESS_apo_zero
98.10606384277344,200,200,99.897,97.348,0.037,2.092,1.52587890625e-08,DVSGesture,1,DVSGesture_TESS_apo_pos1
