dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10DVS,BPTT,1,26.556,76.867,2.813,36.0,86.4,1.757,0.001
CIFAR10DVS,BPTT,2,40.5,88.622,1.636,41.0,87.3,1.682,0.001
CIFAR10DVS,BPTT,3,46.789,91.056,1.483,48.5,90.7,1.484,0.001
CIFAR10DVS,BPTT,4,51.5,92.844,1.356,55.3,93.7,1.304,0.001
CIFAR10DVS,BPTT,5,57.022,94.544,1.22,58.4,95.4,1.195,0.001
CIFAR10DVS,BPTT,6,61.678,96.044,1.09,51.7,94.2,1.388,0.001
CIFAR10DVS,BPTT,7,63.044,96.378,1.052,59.6,95.5,1.136,0.001
CIFAR10DVS,BPTT,8,66.589,96.811,0.959,64.1,95.5,1.065,0.001
CIFAR10DVS,BPTT,9,70.333,97.756,0.856,62.5,96.3,1.124,0.001
CIFAR10DVS,BPTT,10,73.133,97.978,0.77,67.8,96.6,0.978,0.001
CIFAR10DVS,BPTT,11,75.522,98.278,0.703,65.7,96.4,1.026,0.001
CIFAR10DVS,BPTT,12,77.6,99.089,0.633,67.3,96.8,0.986,0.001
CIFAR10DVS,BPTT,13,80.011,99.167,0.568,63.9,95.8,1.069,0.001
CIFAR10DVS,BPTT,14,82.456,99.389,0.506,65.8,97.1,1.092,0.001
CIFAR10DVS,BPTT,15,83.211,99.522,0.48,70.8,97.1,0.946,0.001
CIFAR10DVS,BPTT,16,86.733,99.756,0.385,66.5,96.9,1.104,0.001
CIFAR10DVS,BPTT,17,88.278,99.844,0.347,69.2,97.6,1.021,0.001
CIFAR10DVS,BPTT,18,89.711,99.878,0.299,69.6,98.2,1.015,0.001
CIFAR10DVS,BPTT,19,89.844,99.911,0.284,67.6,96.9,1.145,0.001
CIFAR10DVS,BPTT,20,92.522,99.967,0.216,72.3,97.3,1.023,0.001
CIFAR10DVS,BPTT,21,93.944,99.967,0.175,71.1,97.8,1.07,0.0005
CIFAR10DVS,BPTT,22,97.978,100.0,0.074,73.5,97.3,1.095,0.0005
CIFAR10DVS,BPTT,23,99.311,100.0,0.03,73.8,97.5,1.257,0.0005
CIFAR10DVS,BPTT,24,99.578,100.0,0.023,73.6,97.8,1.207,0.0005
CIFAR10DVS,BPTT,25,99.656,100.0,0.018,73.8,97.4,1.287,0.0005
CIFAR10DVS,BPTT,26,99.733,100.0,0.014,73.7,97.6,1.27,0.0005
CIFAR10DVS,BPTT,27,99.656,100.0,0.018,73.4,98.0,1.255,0.00025
CIFAR10DVS,BPTT,28,99.9,100.0,0.008,75.0,97.9,1.312,0.00025
CIFAR10DVS,BPTT,29,99.944,100.0,0.005,74.6,97.7,1.399,0.00025
CIFAR10DVS,BPTT,30,99.989,100.0,0.003,75.5,97.7,1.394,0.00025
CIFAR10DVS,BPTT,31,99.967,100.0,0.003,75.8,97.8,1.359,0.00025
CIFAR10DVS,BPTT,32,100.0,100.0,0.002,75.5,97.5,1.396,0.00025
CIFAR10DVS,BPTT,33,100.0,100.0,0.002,76.1,97.8,1.435,0.000125
CIFAR10DVS,BPTT,34,100.0,100.0,0.002,75.1,97.6,1.426,0.000125
CIFAR10DVS,BPTT,35,100.0,100.0,0.002,75.4,97.9,1.438,0.000125
CIFAR10DVS,BPTT,36,100.0,100.0,0.002,75.3,97.8,1.48,0.000125
CIFAR10DVS,BPTT,37,100.0,100.0,0.001,75.2,97.7,1.462,0.000125
CIFAR10DVS,BPTT,38,100.0,100.0,0.001,75.5,98.0,1.488,0.000125
CIFAR10DVS,BPTT,39,100.0,100.0,0.001,75.4,97.8,1.472,6.25e-05
CIFAR10DVS,BPTT,40,100.0,100.0,0.001,75.4,97.7,1.465,6.25e-05
CIFAR10DVS,BPTT,41,99.989,100.0,0.001,74.4,97.7,1.533,6.25e-05
CIFAR10DVS,BPTT,42,100.0,100.0,0.001,75.1,97.7,1.474,6.25e-05
CIFAR10DVS,BPTT,43,100.0,100.0,0.001,75.0,97.7,1.525,6.25e-05
CIFAR10DVS,BPTT,44,100.0,100.0,0.001,75.1,97.8,1.509,6.25e-05
CIFAR10DVS,BPTT,45,100.0,100.0,0.001,76.3,97.7,1.507,3.125e-05
CIFAR10DVS,BPTT,46,100.0,100.0,0.001,75.6,97.6,1.514,3.125e-05
CIFAR10DVS,BPTT,47,100.0,100.0,0.001,75.8,97.8,1.51,3.125e-05
CIFAR10DVS,BPTT,48,100.0,100.0,0.001,75.1,97.8,1.518,3.125e-05
CIFAR10DVS,BPTT,49,100.0,100.0,0.001,75.8,97.6,1.544,3.125e-05
CIFAR10DVS,BPTT,50,100.0,100.0,0.001,75.8,97.7,1.539,3.125e-05
CIFAR10DVS,BPTT,51,100.0,100.0,0.001,75.5,97.5,1.54,1.5625e-05
CIFAR10DVS,BPTT,52,100.0,100.0,0.001,75.7,97.6,1.543,1.5625e-05
CIFAR10DVS,BPTT,53,100.0,100.0,0.001,75.3,97.7,1.537,1.5625e-05
CIFAR10DVS,BPTT,54,100.0,100.0,0.001,75.0,97.8,1.548,1.5625e-05
CIFAR10DVS,BPTT,55,100.0,100.0,0.001,76.3,97.8,1.548,1.5625e-05
CIFAR10DVS,BPTT,56,100.0,100.0,0.001,75.6,97.8,1.552,1.5625e-05
CIFAR10DVS,BPTT,57,100.0,100.0,0.001,75.7,97.5,1.55,7.8125e-06
CIFAR10DVS,BPTT,58,100.0,100.0,0.001,76.4,97.7,1.545,7.8125e-06
CIFAR10DVS,BPTT,59,100.0,100.0,0.001,75.6,97.7,1.529,7.8125e-06
CIFAR10DVS,BPTT,60,100.0,100.0,0.001,75.9,97.7,1.542,7.8125e-06
CIFAR10DVS,BPTT,61,100.0,100.0,0.001,75.9,97.7,1.559,7.8125e-06
CIFAR10DVS,BPTT,62,100.0,100.0,0.001,76.0,97.7,1.559,7.8125e-06
CIFAR10DVS,BPTT,63,100.0,100.0,0.001,75.9,97.6,1.554,3.90625e-06
CIFAR10DVS,BPTT,64,100.0,100.0,0.001,75.9,97.6,1.561,3.90625e-06
CIFAR10DVS,BPTT,65,100.0,100.0,0.001,75.6,97.6,1.561,3.90625e-06
CIFAR10DVS,BPTT,66,100.0,100.0,0.001,75.5,97.8,1.559,3.90625e-06
CIFAR10DVS,BPTT,67,100.0,100.0,0.001,75.4,97.7,1.56,3.90625e-06
CIFAR10DVS,BPTT,68,100.0,100.0,0.001,75.5,97.7,1.569,3.90625e-06
CIFAR10DVS,BPTT,69,100.0,100.0,0.0,75.6,97.8,1.57,1.953125e-06
CIFAR10DVS,BPTT,70,100.0,100.0,0.001,75.8,98.0,1.556,1.953125e-06
CIFAR10DVS,BPTT,71,100.0,100.0,0.001,75.9,97.8,1.568,1.953125e-06
CIFAR10DVS,BPTT,72,100.0,100.0,0.001,75.8,97.7,1.57,1.953125e-06
CIFAR10DVS,BPTT,73,100.0,100.0,0.001,75.7,97.5,1.575,1.953125e-06
CIFAR10DVS,BPTT,74,100.0,100.0,0.001,75.6,97.7,1.572,1.953125e-06
CIFAR10DVS,BPTT,75,100.0,100.0,0.001,75.7,97.8,1.551,9.765625e-07
CIFAR10DVS,BPTT,76,100.0,100.0,0.0,76.0,97.6,1.547,9.765625e-07
CIFAR10DVS,BPTT,77,100.0,100.0,0.0,75.9,97.7,1.561,9.765625e-07
CIFAR10DVS,BPTT,78,100.0,100.0,0.0,76.3,97.7,1.564,9.765625e-07
CIFAR10DVS,BPTT,79,100.0,100.0,0.0,75.8,97.8,1.552,9.765625e-07
CIFAR10DVS,BPTT,80,100.0,100.0,0.001,75.6,97.9,1.559,9.765625e-07
CIFAR10DVS,BPTT,81,100.0,100.0,0.0,75.6,97.5,1.567,4.8828125e-07
CIFAR10DVS,BPTT,82,100.0,100.0,0.001,75.7,97.9,1.546,4.8828125e-07
CIFAR10DVS,BPTT,83,100.0,100.0,0.0,75.5,97.8,1.556,4.8828125e-07
CIFAR10DVS,BPTT,84,100.0,100.0,0.001,76.0,97.7,1.565,4.8828125e-07
CIFAR10DVS,BPTT,85,100.0,100.0,0.0,75.6,97.8,1.552,4.8828125e-07
CIFAR10DVS,BPTT,86,100.0,100.0,0.0,76.1,97.8,1.56,4.8828125e-07
CIFAR10DVS,BPTT,87,100.0,100.0,0.0,75.8,97.9,1.568,2.44140625e-07
CIFAR10DVS,BPTT,88,100.0,100.0,0.0,75.2,97.8,1.571,2.44140625e-07
CIFAR10DVS,BPTT,89,100.0,100.0,0.001,75.8,97.7,1.556,2.44140625e-07
CIFAR10DVS,BPTT,90,100.0,100.0,0.0,75.9,97.7,1.565,2.44140625e-07
CIFAR10DVS,BPTT,91,100.0,100.0,0.0,75.6,97.8,1.555,2.44140625e-07
CIFAR10DVS,BPTT,92,100.0,100.0,0.0,75.6,97.7,1.562,2.44140625e-07
CIFAR10DVS,BPTT,93,100.0,100.0,0.001,75.9,97.7,1.562,1.220703125e-07
CIFAR10DVS,BPTT,94,100.0,100.0,0.0,75.6,97.8,1.565,1.220703125e-07
CIFAR10DVS,BPTT,95,100.0,100.0,0.001,75.6,97.8,1.567,1.220703125e-07
CIFAR10DVS,BPTT,96,100.0,100.0,0.0,76.2,97.9,1.57,1.220703125e-07
CIFAR10DVS,BPTT,97,100.0,100.0,0.0,75.5,97.7,1.564,1.220703125e-07
CIFAR10DVS,BPTT,98,100.0,100.0,0.0,75.3,97.8,1.565,1.220703125e-07
CIFAR10DVS,BPTT,99,100.0,100.0,0.0,75.9,97.7,1.56,6.103515625e-08
CIFAR10DVS,BPTT,100,100.0,100.0,0.0,75.5,97.7,1.568,6.103515625e-08
CIFAR10DVS,BPTT,101,100.0,100.0,0.0,75.7,97.7,1.557,6.103515625e-08
CIFAR10DVS,BPTT,102,100.0,100.0,0.0,75.8,97.7,1.564,6.103515625e-08
CIFAR10DVS,BPTT,103,100.0,100.0,0.0,76.0,97.7,1.554,6.103515625e-08
CIFAR10DVS,BPTT,104,100.0,100.0,0.0,75.7,97.8,1.568,6.103515625e-08
CIFAR10DVS,BPTT,105,100.0,100.0,0.001,75.8,97.8,1.561,3.0517578125e-08
CIFAR10DVS,BPTT,106,100.0,100.0,0.001,75.8,97.7,1.562,3.0517578125e-08
CIFAR10DVS,BPTT,107,100.0,100.0,0.0,75.7,97.9,1.558,3.0517578125e-08
CIFAR10DVS,BPTT,108,100.0,100.0,0.0,75.4,97.8,1.559,3.0517578125e-08
CIFAR10DVS,BPTT,109,100.0,100.0,0.0,75.7,97.8,1.561,3.0517578125e-08
CIFAR10DVS,BPTT,110,100.0,100.0,0.001,75.5,97.8,1.564,3.0517578125e-08
CIFAR10DVS,BPTT,111,100.0,100.0,0.0,75.7,97.7,1.562,1.52587890625e-08
CIFAR10DVS,BPTT,112,100.0,100.0,0.0,75.4,97.7,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,113,100.0,100.0,0.001,75.6,97.7,1.554,1.52587890625e-08
CIFAR10DVS,BPTT,114,100.0,100.0,0.0,75.6,97.7,1.549,1.52587890625e-08
CIFAR10DVS,BPTT,115,100.0,100.0,0.0,75.7,97.9,1.554,1.52587890625e-08
CIFAR10DVS,BPTT,116,100.0,100.0,0.0,75.6,97.8,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,117,100.0,100.0,0.0,75.8,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,118,100.0,100.0,0.001,75.4,97.8,1.565,1.52587890625e-08
CIFAR10DVS,BPTT,119,100.0,100.0,0.0,75.4,97.7,1.553,1.52587890625e-08
CIFAR10DVS,BPTT,120,100.0,100.0,0.0,75.5,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,121,100.0,100.0,0.001,75.8,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,122,100.0,100.0,0.001,75.8,97.9,1.562,1.52587890625e-08
CIFAR10DVS,BPTT,123,100.0,100.0,0.0,75.7,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,124,100.0,100.0,0.0,75.9,97.8,1.558,1.52587890625e-08
CIFAR10DVS,BPTT,125,100.0,100.0,0.0,75.9,97.8,1.556,1.52587890625e-08
CIFAR10DVS,BPTT,126,100.0,100.0,0.0,75.4,97.8,1.558,1.52587890625e-08
CIFAR10DVS,BPTT,127,100.0,100.0,0.0,75.6,97.8,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,128,100.0,100.0,0.0,75.7,97.7,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,129,100.0,100.0,0.001,75.6,97.7,1.564,1.52587890625e-08
CIFAR10DVS,BPTT,130,100.0,100.0,0.0,75.8,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,131,100.0,100.0,0.0,75.7,97.8,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,132,100.0,100.0,0.0,75.5,97.8,1.573,1.52587890625e-08
CIFAR10DVS,BPTT,133,100.0,100.0,0.0,75.8,97.8,1.556,1.52587890625e-08
CIFAR10DVS,BPTT,134,100.0,100.0,0.001,75.8,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,135,100.0,100.0,0.0,75.2,97.9,1.565,1.52587890625e-08
CIFAR10DVS,BPTT,136,100.0,100.0,0.0,75.5,97.7,1.555,1.52587890625e-08
CIFAR10DVS,BPTT,137,100.0,100.0,0.0,75.6,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,138,100.0,100.0,0.0,75.3,97.8,1.565,1.52587890625e-08
CIFAR10DVS,BPTT,139,100.0,100.0,0.001,75.4,97.8,1.558,1.52587890625e-08
CIFAR10DVS,BPTT,140,100.0,100.0,0.0,75.0,97.8,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,141,100.0,100.0,0.0,75.3,97.8,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,142,100.0,100.0,0.001,75.6,97.7,1.568,1.52587890625e-08
CIFAR10DVS,BPTT,143,100.0,100.0,0.0,75.6,97.8,1.571,1.52587890625e-08
CIFAR10DVS,BPTT,144,100.0,100.0,0.0,75.8,97.8,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,145,100.0,100.0,0.0,75.4,97.9,1.566,1.52587890625e-08
CIFAR10DVS,BPTT,146,100.0,100.0,0.0,75.7,97.8,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,147,100.0,100.0,0.001,75.5,97.9,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,148,100.0,100.0,0.0,75.4,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,149,100.0,100.0,0.0,75.4,97.7,1.556,1.52587890625e-08
CIFAR10DVS,BPTT,150,100.0,100.0,0.0,75.6,97.9,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,151,100.0,100.0,0.0,75.6,97.8,1.562,1.52587890625e-08
CIFAR10DVS,BPTT,152,100.0,100.0,0.0,75.4,97.8,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,153,100.0,100.0,0.0,75.4,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,154,100.0,100.0,0.0,75.4,97.9,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,155,100.0,100.0,0.001,75.6,97.8,1.558,1.52587890625e-08
CIFAR10DVS,BPTT,156,100.0,100.0,0.0,75.8,97.8,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,157,100.0,100.0,0.001,75.9,97.8,1.565,1.52587890625e-08
CIFAR10DVS,BPTT,158,100.0,100.0,0.0,75.9,97.9,1.564,1.52587890625e-08
CIFAR10DVS,BPTT,159,100.0,100.0,0.0,75.9,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,160,100.0,100.0,0.0,75.3,97.8,1.564,1.52587890625e-08
CIFAR10DVS,BPTT,161,100.0,100.0,0.001,75.6,97.8,1.571,1.52587890625e-08
CIFAR10DVS,BPTT,162,100.0,100.0,0.0,75.9,97.9,1.572,1.52587890625e-08
CIFAR10DVS,BPTT,163,100.0,100.0,0.0,75.3,97.8,1.566,1.52587890625e-08
CIFAR10DVS,BPTT,164,100.0,100.0,0.0,75.7,97.8,1.565,1.52587890625e-08
CIFAR10DVS,BPTT,165,100.0,100.0,0.001,75.6,97.8,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,166,100.0,100.0,0.0,75.9,97.9,1.568,1.52587890625e-08
CIFAR10DVS,BPTT,167,100.0,100.0,0.0,75.3,97.8,1.562,1.52587890625e-08
CIFAR10DVS,BPTT,168,100.0,100.0,0.0,75.8,97.9,1.564,1.52587890625e-08
CIFAR10DVS,BPTT,169,100.0,100.0,0.0,76.0,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,170,100.0,100.0,0.0,76.0,97.9,1.566,1.52587890625e-08
CIFAR10DVS,BPTT,171,100.0,100.0,0.0,75.9,97.8,1.568,1.52587890625e-08
CIFAR10DVS,BPTT,172,100.0,100.0,0.0,76.0,97.7,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,173,100.0,100.0,0.0,75.4,97.8,1.565,1.52587890625e-08
CIFAR10DVS,BPTT,174,100.0,100.0,0.0,75.9,97.6,1.566,1.52587890625e-08
CIFAR10DVS,BPTT,175,100.0,100.0,0.0,75.7,97.7,1.566,1.52587890625e-08
CIFAR10DVS,BPTT,176,100.0,100.0,0.0,76.1,97.9,1.572,1.52587890625e-08
CIFAR10DVS,BPTT,177,100.0,100.0,0.001,75.7,98.0,1.567,1.52587890625e-08
CIFAR10DVS,BPTT,178,100.0,100.0,0.0,75.5,97.7,1.568,1.52587890625e-08
CIFAR10DVS,BPTT,179,100.0,100.0,0.0,75.4,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,180,100.0,100.0,0.0,75.8,97.7,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,181,100.0,100.0,0.0,75.8,97.9,1.56,1.52587890625e-08
CIFAR10DVS,BPTT,182,100.0,100.0,0.0,75.9,97.8,1.559,1.52587890625e-08
CIFAR10DVS,BPTT,183,100.0,100.0,0.0,76.0,97.8,1.564,1.52587890625e-08
CIFAR10DVS,BPTT,184,100.0,100.0,0.0,75.9,97.9,1.562,1.52587890625e-08
CIFAR10DVS,BPTT,185,100.0,100.0,0.001,75.7,97.8,1.564,1.52587890625e-08
CIFAR10DVS,BPTT,186,100.0,100.0,0.0,76.0,97.8,1.561,1.52587890625e-08
CIFAR10DVS,BPTT,187,100.0,100.0,0.0,76.0,97.7,1.569,1.52587890625e-08
CIFAR10DVS,BPTT,188,100.0,100.0,0.0,75.8,97.8,1.55,1.52587890625e-08
CIFAR10DVS,BPTT,189,100.0,100.0,0.0,76.0,97.8,1.563,1.52587890625e-08
CIFAR10DVS,BPTT,190,100.0,100.0,0.0,75.8,97.8,1.557,1.52587890625e-08
CIFAR10DVS,BPTT,191,100.0,100.0,0.0,76.2,97.8,1.568,1.52587890625e-08
