dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10DVS,TESS,1,26.344,77.233,6.201,33.1,84.5,7.168,0.001
CIFAR10DVS,TESS,2,39.733,87.889,6.021,42.6,90.4,6.049,0.001
CIFAR10DVS,TESS,3,46.211,90.344,5.847,49.1,92.0,6.036,0.001
CIFAR10DVS,TESS,4,49.333,92.211,5.639,49.5,91.4,6.925,0.001
CIFAR10DVS,TESS,5,52.478,93.189,5.463,48.7,92.9,6.121,0.001
CIFAR10DVS,TESS,6,55.656,94.456,5.035,56.3,94.6,5.166,0.001
CIFAR10DVS,TESS,7,58.933,94.922,4.755,59.8,95.5,5.625,0.001
CIFAR10DVS,TESS,8,61.056,95.478,4.675,58.3,95.2,5.608,0.001
CIFAR10DVS,TESS,9,63.622,96.356,4.384,62.4,95.5,4.996,0.001
CIFAR10DVS,TESS,10,66.378,96.911,4.033,64.0,96.7,5.108,0.001
CIFAR10DVS,TESS,11,67.833,97.289,3.911,62.2,95.7,5.698,0.001
CIFAR10DVS,TESS,12,69.789,97.589,3.727,64.4,96.5,5.168,0.001
CIFAR10DVS,TESS,13,71.878,98.078,3.335,62.2,96.7,5.524,0.001
CIFAR10DVS,TESS,14,73.167,98.367,3.166,65.5,96.9,5.687,0.001
CIFAR10DVS,TESS,15,75.089,98.567,3.003,65.6,97.2,5.792,0.0005
CIFAR10DVS,TESS,16,81.511,99.256,2.035,70.1,97.5,5.185,0.0005
CIFAR10DVS,TESS,17,84.467,99.456,1.739,70.1,97.5,5.283,0.0005
CIFAR10DVS,TESS,18,85.733,99.656,1.508,69.9,97.6,6.146,0.0005
CIFAR10DVS,TESS,19,87.067,99.744,1.412,69.6,97.3,6.106,0.0005
CIFAR10DVS,TESS,20,87.989,99.733,1.32,69.5,96.9,5.665,0.0005
CIFAR10DVS,TESS,21,89.133,99.878,1.1,70.7,97.4,6.451,0.00025
CIFAR10DVS,TESS,22,93.544,99.911,0.556,72.8,97.7,5.692,0.00025
CIFAR10DVS,TESS,23,95.167,99.967,0.429,73.6,98.0,5.927,0.00025
CIFAR10DVS,TESS,24,95.467,99.989,0.388,74.0,98.0,6.109,0.00025
CIFAR10DVS,TESS,25,96.178,99.989,0.33,72.3,97.6,6.781,0.00025
CIFAR10DVS,TESS,26,97.044,100.0,0.259,73.7,98.2,6.356,0.00025
CIFAR10DVS,TESS,27,97.467,99.989,0.205,72.5,97.7,6.958,0.000125
CIFAR10DVS,TESS,28,98.633,100.0,0.096,73.6,98.0,6.876,0.000125
CIFAR10DVS,TESS,29,99.211,100.0,0.051,73.9,97.9,7.034,0.000125
CIFAR10DVS,TESS,30,99.256,100.0,0.053,74.3,97.8,7.044,0.000125
CIFAR10DVS,TESS,31,99.467,100.0,0.033,72.9,98.2,7.26,0.000125
CIFAR10DVS,TESS,32,99.367,100.0,0.04,74.5,97.9,7.31,0.000125
CIFAR10DVS,TESS,33,99.511,100.0,0.037,74.5,97.8,7.418,6.25e-05
CIFAR10DVS,TESS,34,99.756,100.0,0.024,74.8,98.3,7.474,6.25e-05
CIFAR10DVS,TESS,35,99.8,100.0,0.012,74.8,98.1,7.671,6.25e-05
CIFAR10DVS,TESS,36,99.744,100.0,0.014,74.7,98.1,7.577,6.25e-05
CIFAR10DVS,TESS,37,99.756,100.0,0.017,74.7,98.2,7.704,6.25e-05
CIFAR10DVS,TESS,38,99.8,100.0,0.015,75.6,98.1,7.65,6.25e-05
CIFAR10DVS,TESS,39,99.878,100.0,0.01,74.2,98.1,7.665,3.125e-05
CIFAR10DVS,TESS,40,99.844,100.0,0.01,74.4,98.1,7.875,3.125e-05
CIFAR10DVS,TESS,41,99.956,100.0,0.003,74.9,98.1,7.783,3.125e-05
CIFAR10DVS,TESS,42,99.956,100.0,0.003,74.9,98.3,7.934,3.125e-05
CIFAR10DVS,TESS,43,99.878,100.0,0.012,74.2,98.1,8.067,3.125e-05
CIFAR10DVS,TESS,44,99.933,100.0,0.003,74.5,98.2,8.058,3.125e-05
CIFAR10DVS,TESS,45,99.933,100.0,0.003,75.1,97.8,8.085,1.5625e-05
CIFAR10DVS,TESS,46,99.933,100.0,0.004,75.4,97.8,7.984,1.5625e-05
CIFAR10DVS,TESS,47,99.944,100.0,0.002,75.0,98.1,7.991,1.5625e-05
CIFAR10DVS,TESS,48,99.922,100.0,0.004,75.1,98.1,8.163,1.5625e-05
CIFAR10DVS,TESS,49,99.922,100.0,0.003,75.0,97.9,8.269,1.5625e-05
CIFAR10DVS,TESS,50,99.956,100.0,0.002,74.9,97.9,8.199,1.5625e-05
CIFAR10DVS,TESS,51,99.944,100.0,0.002,75.2,97.7,8.163,7.8125e-06
CIFAR10DVS,TESS,52,99.967,100.0,0.004,75.1,98.0,8.268,7.8125e-06
CIFAR10DVS,TESS,53,99.956,100.0,0.003,74.8,98.0,8.27,7.8125e-06
CIFAR10DVS,TESS,54,99.967,100.0,0.003,74.7,98.1,8.264,7.8125e-06
CIFAR10DVS,TESS,55,99.956,100.0,0.003,74.4,97.9,8.277,7.8125e-06
CIFAR10DVS,TESS,56,99.944,100.0,0.004,74.7,98.0,8.279,7.8125e-06
CIFAR10DVS,TESS,57,99.989,100.0,0.001,75.1,97.7,8.269,3.90625e-06
CIFAR10DVS,TESS,58,99.944,100.0,0.005,75.1,97.8,8.253,3.90625e-06
CIFAR10DVS,TESS,59,99.989,100.0,0.0,74.9,98.1,8.299,3.90625e-06
CIFAR10DVS,TESS,60,99.978,100.0,0.002,74.3,97.8,8.363,3.90625e-06
CIFAR10DVS,TESS,61,99.978,100.0,0.0,73.9,97.9,8.387,3.90625e-06
CIFAR10DVS,TESS,62,99.944,100.0,0.002,74.8,97.9,8.321,3.90625e-06
CIFAR10DVS,TESS,63,99.989,100.0,0.0,74.5,97.7,8.306,1.953125e-06
CIFAR10DVS,TESS,64,99.956,100.0,0.002,74.5,97.8,8.358,1.953125e-06
