dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10,BPTT,1,44.938,90.2,1.511,62.65,96.55,1.043,0.001
CIFAR10,BPTT,2,60.84,95.89,1.094,69.67,97.62,0.868,0.001
CIFAR10,BPTT,3,67.786,97.134,0.917,73.95,98.54,0.729,0.001
CIFAR10,BPTT,4,72.09,97.832,0.797,78.49,98.87,0.613,0.001
CIFAR10,BPTT,5,75.0,98.204,0.72,79.85,98.9,0.58,0.001
CIFAR10,BPTT,6,77.044,98.514,0.66,80.92,99.1,0.559,0.001
CIFAR10,BPTT,7,78.824,98.738,0.61,82.26,98.94,0.529,0.001
CIFAR10,BPTT,8,80.114,98.874,0.573,83.92,99.33,0.473,0.001
CIFAR10,BPTT,9,81.454,98.966,0.535,83.63,99.11,0.482,0.001
CIFAR10,BPTT,10,82.404,99.098,0.505,85.39,99.29,0.44,0.001
CIFAR10,BPTT,11,83.196,99.14,0.484,85.11,99.41,0.457,0.001
CIFAR10,BPTT,12,84.31,99.25,0.454,85.57,99.36,0.428,0.001
CIFAR10,BPTT,13,85.058,99.282,0.431,86.91,99.44,0.401,0.001
CIFAR10,BPTT,14,85.86,99.378,0.408,86.64,99.49,0.403,0.001
CIFAR10,BPTT,15,86.594,99.452,0.389,87.0,99.32,0.396,0.001
CIFAR10,BPTT,16,87.01,99.44,0.375,86.94,99.53,0.404,0.001
CIFAR10,BPTT,17,87.474,99.538,0.359,88.53,99.57,0.348,0.001
CIFAR10,BPTT,18,87.944,99.496,0.348,87.33,99.58,0.373,0.001
CIFAR10,BPTT,19,88.466,99.598,0.332,89.53,99.58,0.341,0.001
CIFAR10,BPTT,20,88.742,99.584,0.322,88.82,99.56,0.354,0.001
CIFAR10,BPTT,21,89.016,99.684,0.313,88.8,99.63,0.363,0.001
CIFAR10,BPTT,22,89.516,99.654,0.303,88.81,99.63,0.35,0.001
CIFAR10,BPTT,23,89.878,99.722,0.29,89.28,99.69,0.335,0.001
CIFAR10,BPTT,24,89.95,99.68,0.286,89.58,99.67,0.329,0.001
CIFAR10,BPTT,25,90.526,99.732,0.273,89.81,99.7,0.326,0.001
CIFAR10,BPTT,26,90.784,99.728,0.267,89.57,99.75,0.345,0.001
CIFAR10,BPTT,27,90.944,99.734,0.257,89.29,99.72,0.345,0.001
CIFAR10,BPTT,28,91.412,99.754,0.246,89.78,99.72,0.336,0.001
CIFAR10,BPTT,29,91.432,99.72,0.247,89.55,99.7,0.345,0.001
CIFAR10,BPTT,30,91.752,99.78,0.236,89.82,99.78,0.329,0.001
CIFAR10,BPTT,31,91.962,99.772,0.232,89.45,99.65,0.346,0.0005
CIFAR10,BPTT,32,93.552,99.858,0.185,90.96,99.74,0.325,0.0005
CIFAR10,BPTT,33,93.958,99.84,0.173,91.2,99.79,0.31,0.0005
CIFAR10,BPTT,34,94.334,99.896,0.162,90.89,99.72,0.326,0.0005
CIFAR10,BPTT,35,94.202,99.856,0.166,91.31,99.77,0.321,0.0005
CIFAR10,BPTT,36,94.346,99.872,0.162,91.3,99.77,0.324,0.0005
CIFAR10,BPTT,37,94.476,99.866,0.158,91.51,99.82,0.325,0.0005
CIFAR10,BPTT,38,94.676,99.896,0.154,91.19,99.81,0.342,0.0005
CIFAR10,BPTT,39,94.776,99.892,0.149,90.67,99.76,0.358,0.00025
CIFAR10,BPTT,40,95.518,99.882,0.128,91.66,99.76,0.334,0.00025
CIFAR10,BPTT,41,95.828,99.906,0.121,91.89,99.81,0.328,0.00025
CIFAR10,BPTT,42,95.692,99.92,0.12,92.0,99.78,0.331,0.00025
CIFAR10,BPTT,43,95.836,99.91,0.119,92.03,99.76,0.336,0.00025
CIFAR10,BPTT,44,95.798,99.91,0.12,92.12,99.8,0.316,0.00025
CIFAR10,BPTT,45,95.914,99.918,0.115,92.13,99.79,0.327,0.000125
CIFAR10,BPTT,46,96.282,99.92,0.109,92.22,99.79,0.339,0.000125
CIFAR10,BPTT,47,96.428,99.922,0.101,92.13,99.78,0.348,0.000125
CIFAR10,BPTT,48,96.322,99.918,0.106,92.08,99.82,0.336,0.000125
CIFAR10,BPTT,49,96.294,99.93,0.106,92.24,99.8,0.334,0.000125
CIFAR10,BPTT,50,96.536,99.896,0.098,92.35,99.83,0.339,0.000125
CIFAR10,BPTT,51,96.35,99.932,0.103,92.39,99.82,0.34,6.25e-05
CIFAR10,BPTT,52,96.69,99.942,0.096,91.97,99.82,0.349,6.25e-05
CIFAR10,BPTT,53,96.72,99.914,0.094,92.19,99.83,0.346,6.25e-05
CIFAR10,BPTT,54,96.794,99.932,0.094,92.32,99.83,0.335,6.25e-05
CIFAR10,BPTT,55,96.788,99.924,0.092,92.24,99.8,0.346,6.25e-05
CIFAR10,BPTT,56,96.854,99.946,0.094,92.43,99.83,0.345,6.25e-05
CIFAR10,BPTT,57,96.878,99.954,0.091,92.48,99.84,0.351,3.125e-05
CIFAR10,BPTT,58,96.858,99.944,0.091,92.56,99.8,0.345,3.125e-05
