dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10,TESS,1,39.764,88.576,3.925,54.45,94.7,3.882,0.001
CIFAR10,TESS,2,57.696,95.284,3.352,64.88,96.91,3.2,0.001
CIFAR10,TESS,3,64.0,96.562,2.986,68.84,97.89,2.94,0.001
CIFAR10,TESS,4,69.15,97.474,2.671,71.96,98.43,2.924,0.001
CIFAR10,TESS,5,72.5,97.978,2.451,77.76,98.82,2.147,0.001
CIFAR10,TESS,6,75.014,98.268,2.271,79.36,98.98,2.159,0.001
CIFAR10,TESS,7,77.224,98.604,2.092,81.87,99.12,1.935,0.001
CIFAR10,TESS,8,78.772,98.734,1.96,82.8,99.25,1.734,0.001
CIFAR10,TESS,9,80.3,98.906,1.835,83.07,99.26,1.76,0.001
CIFAR10,TESS,10,81.118,99.036,1.735,82.4,99.29,1.939,0.001
CIFAR10,TESS,11,82.506,99.17,1.618,83.65,99.32,1.811,0.001
CIFAR10,TESS,12,83.852,99.204,1.522,85.92,99.42,1.541,0.001
CIFAR10,TESS,13,84.19,99.232,1.468,85.99,99.46,1.547,0.001
CIFAR10,TESS,14,84.836,99.332,1.398,85.75,99.47,1.611,0.001
CIFAR10,TESS,15,85.876,99.388,1.324,86.61,99.42,1.575,0.001
CIFAR10,TESS,16,86.252,99.372,1.265,87.54,99.65,1.478,0.001
CIFAR10,TESS,17,87.026,99.488,1.207,86.28,99.47,1.659,0.001
CIFAR10,TESS,18,87.512,99.586,1.159,88.29,99.58,1.329,0.001
CIFAR10,TESS,19,87.746,99.576,1.132,87.68,99.6,1.461,0.001
CIFAR10,TESS,20,88.184,99.564,1.092,88.51,99.66,1.314,0.001
CIFAR10,TESS,21,88.63,99.598,1.054,87.7,99.62,1.432,0.001
CIFAR10,TESS,22,88.942,99.634,1.015,88.42,99.68,1.368,0.001
CIFAR10,TESS,23,89.398,99.634,0.97,89.14,99.71,1.313,0.001
CIFAR10,TESS,24,89.798,99.676,0.932,88.48,99.72,1.43,0.001
CIFAR10,TESS,25,90.056,99.658,0.926,89.24,99.67,1.319,0.001
CIFAR10,TESS,26,90.508,99.702,0.879,89.25,99.67,1.312,0.001
CIFAR10,TESS,27,90.368,99.724,0.874,88.31,99.68,1.497,0.001
CIFAR10,TESS,28,90.896,99.696,0.836,89.53,99.74,1.259,0.001
CIFAR10,TESS,29,90.932,99.758,0.819,89.39,99.66,1.322,0.001
CIFAR10,TESS,30,91.31,99.782,0.798,89.47,99.67,1.339,0.001
CIFAR10,TESS,31,91.406,99.776,0.776,89.8,99.7,1.325,0.001
