dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
DVSGesture,BPTT,1,57.169,91.036,1.624,83.712,96.97,0.59,0.001
DVSGesture,BPTT,2,82.408,99.07,0.547,80.303,100.0,0.717,0.001
DVSGesture,BPTT,3,87.523,99.38,0.4,85.985,98.864,0.59,0.001
DVSGesture,BPTT,4,91.062,99.587,0.296,91.288,99.621,0.298,0.001
DVSGesture,BPTT,5,90.726,99.664,0.303,89.015,99.621,0.362,0.001
DVSGesture,BPTT,6,91.217,99.845,0.273,93.939,99.621,0.233,0.001
DVSGesture,BPTT,7,93.258,99.871,0.215,93.561,99.621,0.212,0.001
DVSGesture,BPTT,8,94.239,99.871,0.19,91.288,100.0,0.261,0.001
DVSGesture,BPTT,9,94.549,99.871,0.183,95.833,99.242,0.18,0.001
DVSGesture,BPTT,10,94.42,99.948,0.163,90.909,99.621,0.308,0.001
DVSGesture,BPTT,11,94.808,99.819,0.165,94.697,99.621,0.199,0.001
DVSGesture,BPTT,12,95.169,99.948,0.137,90.152,100.0,0.435,0.001
DVSGesture,BPTT,13,95.996,99.897,0.128,96.212,100.0,0.155,0.001
DVSGesture,BPTT,14,95.944,99.845,0.139,92.045,99.621,0.27,0.001
DVSGesture,BPTT,15,97.158,99.948,0.09,93.561,100.0,0.224,0.001
DVSGesture,BPTT,16,97.288,99.974,0.083,96.591,99.621,0.154,0.001
DVSGesture,BPTT,17,95.35,99.923,0.149,83.333,99.621,0.395,0.001
DVSGesture,BPTT,18,95.634,99.974,0.138,95.076,100.0,0.183,0.001
DVSGesture,BPTT,19,97.029,99.923,0.094,91.667,99.621,0.39,0.001
DVSGesture,BPTT,20,97.029,99.974,0.099,96.212,100.0,0.234,0.001
DVSGesture,BPTT,21,97.313,99.948,0.089,96.212,100.0,0.152,0.001
DVSGesture,BPTT,22,97.572,99.974,0.079,96.212,100.0,0.161,0.001
DVSGesture,BPTT,23,97.468,99.974,0.079,95.833,100.0,0.143,0.001
DVSGesture,BPTT,24,96.668,99.948,0.105,95.455,100.0,0.165,0.001
DVSGesture,BPTT,25,97.365,99.948,0.077,94.697,99.242,0.206,0.001
DVSGesture,BPTT,26,98.037,99.974,0.072,95.833,100.0,0.111,0.001
DVSGesture,BPTT,27,98.218,99.974,0.055,96.591,100.0,0.105,0.001
DVSGesture,BPTT,28,98.295,100.0,0.053,96.591,100.0,0.169,0.001
DVSGesture,BPTT,29,97.882,100.0,0.075,95.076,100.0,0.159,0.001
DVSGesture,BPTT,30,98.321,99.948,0.06,90.53,100.0,0.259,0.001
DVSGesture,BPTT,31,97.262,99.974,0.089,93.939,100.0,0.235,0.001
DVSGesture,BPTT,32,98.063,100.0,0.064,95.076,99.242,0.209,0.001
DVSGesture,BPTT,33,98.553,99.974,0.049,95.455,100.0,0.163,0.0005
