dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
DVSGesture,TESS,1,49.703,94.472,8.02,73.106,99.242,4.3,0.001
DVSGesture,TESS,2,77.086,99.122,4.808,91.667,100.0,2.23,0.001
DVSGesture,TESS,3,89.563,99.613,2.885,90.152,99.242,2.917,0.001
DVSGesture,TESS,4,90.623,99.742,2.522,94.697,100.0,1.457,0.001
DVSGesture,TESS,5,93.464,99.819,1.846,93.939,98.485,1.954,0.001
DVSGesture,TESS,6,94.446,99.897,1.477,94.697,100.0,1.685,0.001
DVSGesture,TESS,7,96.409,99.948,1.027,96.212,99.621,1.679,0.001
DVSGesture,TESS,8,95.944,99.948,1.197,97.348,99.621,0.954,0.001
DVSGesture,TESS,9,96.668,99.948,0.865,95.833,99.242,1.815,0.001
DVSGesture,TESS,10,97.417,99.948,0.677,97.348,100.0,0.786,0.001
DVSGesture,TESS,11,97.856,100.0,0.62,97.348,100.0,0.66,0.001
DVSGesture,TESS,12,98.14,100.0,0.503,96.212,100.0,1.249,0.001
DVSGesture,TESS,13,98.063,100.0,0.556,96.212,100.0,1.015,0.001
DVSGesture,TESS,14,98.76,100.0,0.453,96.97,100.0,1.206,0.001
DVSGesture,TESS,15,98.45,100.0,0.444,96.97,100.0,1.744,0.001
DVSGesture,TESS,16,98.243,99.974,0.56,98.106,100.0,1.106,0.001
DVSGesture,TESS,17,98.812,100.0,0.397,95.455,100.0,0.775,0.0005
DVSGesture,TESS,18,99.328,100.0,0.221,96.591,100.0,1.581,0.0005
DVSGesture,TESS,19,99.535,100.0,0.172,97.727,100.0,1.067,0.0005
DVSGesture,TESS,20,99.535,100.0,0.141,98.106,100.0,1.173,0.0005
DVSGesture,TESS,21,99.638,100.0,0.148,97.727,100.0,0.72,0.0005
DVSGesture,TESS,22,99.69,100.0,0.114,98.485,100.0,1.022,0.0005
DVSGesture,TESS,23,99.535,100.0,0.151,98.106,100.0,1.077,0.00025
DVSGesture,TESS,24,99.768,100.0,0.14,98.106,100.0,1.068,0.00025
DVSGesture,TESS,25,99.768,100.0,0.08,97.727,100.0,1.428,0.00025
DVSGesture,TESS,26,99.845,100.0,0.055,98.485,100.0,0.969,0.00025
DVSGesture,TESS,27,99.871,100.0,0.054,98.106,100.0,0.989,0.00025
DVSGesture,TESS,28,99.819,100.0,0.061,98.864,100.0,1.088,0.00025
DVSGesture,TESS,29,99.845,100.0,0.057,98.106,100.0,1.419,0.000125
DVSGesture,TESS,30,99.871,100.0,0.099,98.106,100.0,1.251,0.000125
DVSGesture,TESS,31,99.871,100.0,0.049,97.348,100.0,1.618,0.000125
DVSGesture,TESS,32,99.897,100.0,0.069,98.106,100.0,1.359,0.000125
DVSGesture,TESS,33,99.897,100.0,0.054,98.485,100.0,1.155,0.000125
DVSGesture,TESS,34,99.897,100.0,0.045,97.348,100.0,1.309,0.000125
DVSGesture,TESS,35,99.871,100.0,0.054,98.106,100.0,1.109,6.25e-05
DVSGesture,TESS,36,99.897,100.0,0.027,98.864,100.0,1.06,6.25e-05
DVSGesture,TESS,37,99.871,100.0,0.044,97.727,100.0,1.723,6.25e-05
DVSGesture,TESS,38,99.871,100.0,0.034,98.485,100.0,1.131,6.25e-05
DVSGesture,TESS,39,99.897,100.0,0.031,97.727,100.0,1.15,6.25e-05
