dataset,alpha_post,paper_acc,paper_std,my_acc,diff_my_minus_paper
CIFAR10DVS,-1,75.0,0.69,73.9,-1.0999999999999943
CIFAR10DVS,0,75.0,0.65,74.2,-0.7999999999999972
CIFAR10DVS,1,74.36,0.87,73.5,-0.8599999999999994
DVSGesture,-1,98.56,0.41,96.97,-1.5900000000000034
DVSGesture,0,98.33,0.57,96.212,-2.117999999999995
DVSGesture,1,98.56,0.31,97.348,-1.2120000000000033
CIFAR10,-1,89.93,0.31,89.67,-0.2600000000000051
CIFAR10,0,91.99,0.19,91.69,-0.29999999999999716
CIFAR10,1,92.55,0.16,92.77,0.21999999999999886
CIFAR100,-1,62.49,1.05,61.7,-0.7899999999999991
CIFAR100,0,68.19,0.55,68.26,0.07000000000000739
CIFAR100,1,70.0,0.34,70.14,0.14000000000000057
