dataset,method,paper_acc,paper_std,my_acc,diff_my_minus_paper
CIFAR10DVS,BPTT,76.4,0.66,76.4000015258789,1.5258789005656581e-06
CIFAR10DVS,S-TLLR,75.14,1.37,,
CIFAR10DVS,TESS,75.0,0.65,75.60000610351562,0.600006103515625
DVSGesture,BPTT,97.95,0.68,97.3484878540039,-0.6015121459960966
DVSGesture,S-TLLR,98.48,0.37,,
DVSGesture,TESS,98.56,0.31,91.66667175292967,-6.893328247070329
CIFAR10,BPTT,92.55,0.06,92.6999969482422,0.14999694824220455
CIFAR10,S-TLLR,91.88,0.28,,
CIFAR10,TESS,92.55,0.16,92.47999572753906,-0.07000427246093466
CIFAR100,BPTT,69.28,0.37,69.04999542236328,-0.2300045776367199
CIFAR100,S-TLLR,68.0,0.71,,
CIFAR100,TESS,70.0,0.34,69.0999984741211,-0.9000015258789062
